Date,ProductID,ProductName,Qty,Price,Cost,CurrentStock
2026-06-25,SKU-BERAS-05,Beras Ramos Premium 5kg,14,78000,68000,18
2026-06-25,SKU-MINYAK-02,Minyak Goreng Sawit 2L,26,38000,33000,22
2026-06-25,SKU-TELUR-01,Telur Ayam Ras 1kg,32,31000,26500,15
2026-06-25,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,12,118000,106000,8
2026-06-25,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,20
2026-06-25,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,18,24500,19500,10
2026-06-25,SKU-KURMA-01,Kurma Palm Fruit 500g,7,45000,35000,6
2026-06-26,SKU-BERAS-05,Beras Ramos Premium 5kg,15,78000,68000,18
2026-06-26,SKU-MINYAK-02,Minyak Goreng Sawit 2L,28,38000,33000,22
2026-06-26,SKU-TELUR-01,Telur Ayam Ras 1kg,35,31000,26500,15
2026-06-26,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-06-26,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,18,32000,27000,20
2026-06-26,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,20,24500,19500,10
2026-06-26,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-06-27,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,18
2026-06-27,SKU-MINYAK-02,Minyak Goreng Sawit 2L,34,38000,33000,22
2026-06-27,SKU-TELUR-01,Telur Ayam Ras 1kg,42,31000,26500,15
2026-06-27,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,16,118000,106000,8
2026-06-27,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,22,32000,27000,20
2026-06-27,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,25,24500,19500,10
2026-06-27,SKU-KURMA-01,Kurma Palm Fruit 500g,10,45000,35000,6
2026-06-28,SKU-BERAS-05,Beras Ramos Premium 5kg,19,78000,68000,18
2026-06-28,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,22
2026-06-28,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-06-28,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,8
2026-06-28,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,20
