Date,ProductID,ProductName,Qty,Price,Cost,CurrentStock
2026-06-25,SKU-MINYAK-02,Minyak Goreng Sawit 2L,45,38000,33000,12
2026-06-26,SKU-MINYAK-02,Minyak Goreng Sawit 2L,39,38000,33000,12
2026-06-27,SKU-MINYAK-02,Minyak Goreng Sawit 2L,63,38000,33000,12
2026-06-28,SKU-MINYAK-02,Minyak Goreng Sawit 2L,75,38000,33000,12
2026-06-29,SKU-MINYAK-02,Minyak Goreng Sawit 2L,38,38000,33000,12
2026-06-30,SKU-MINYAK-02,Minyak Goreng Sawit 2L,38,38000,33000,12
2026-07-01,SKU-MINYAK-02,Minyak Goreng Sawit 2L,56,38000,33000,12
2026-07-02,SKU-MINYAK-02,Minyak Goreng Sawit 2L,33,38000,33000,12
2026-07-03,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,12
2026-07-04,SKU-MINYAK-02,Minyak Goreng Sawit 2L,42,38000,33000,12
2026-07-05,SKU-MINYAK-02,Minyak Goreng Sawit 2L,33,38000,33000,12
2026-07-06,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,12
2026-07-07,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,12
2026-07-08,SKU-MINYAK-02,Minyak Goreng Sawit 2L,14,38000,33000,12
2026-07-09,SKU-MINYAK-02,Minyak Goreng Sawit 2L,15,38000,33000,12
2026-07-10,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,12
2026-07-11,SKU-MINYAK-02,Minyak Goreng Sawit 2L,28,38000,33000,12
2026-07-12,SKU-MINYAK-02,Minyak Goreng Sawit 2L,40,38000,33000,12
2026-07-13,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,12
2026-07-14,SKU-MINYAK-02,Minyak Goreng Sawit 2L,18,38000,33000,12
2026-07-15,SKU-MINYAK-02,Minyak Goreng Sawit 2L,38,38000,33000,12
2026-07-16,SKU-MINYAK-02,Minyak Goreng Sawit 2L,26,38000,33000,12
2026-07-17,SKU-MINYAK-02,Minyak Goreng Sawit 2L,28,38000,33000,12
2026-07-18,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,12
2026-07-19,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,12
2026-07-20,SKU-MINYAK-02,Minyak Goreng Sawit 2L,28,38000,33000,12
2026-07-21,SKU-MINYAK-02,Minyak Goreng Sawit 2L,19,38000,33000,12
2026-07-22,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,12
2026-07-23,SKU-MINYAK-02,Minyak Goreng Sawit 2L,23,38000,33000,12
2026-07-24,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,12
2026-07-25,SKU-MINYAK-02,Minyak Goreng Sawit 2L,46,38000,33000,12
2026-07-26,SKU-MINYAK-02,Minyak Goreng Sawit 2L,80,38000,33000,12
2026-07-27,SKU-MINYAK-02,Minyak Goreng Sawit 2L,40,38000,33000,12
2026-07-28,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,12
2026-07-29,SKU-MINYAK-02,Minyak Goreng Sawit 2L,48,38000,33000,12
2026-07-30,SKU-MINYAK-02,Minyak Goreng Sawit 2L,28,38000,33000,12
2026-07-31,SKU-MINYAK-02,Minyak Goreng Sawit 2L,42,38000,33000,12
2026-08-01,SKU-MINYAK-02,Minyak Goreng Sawit 2L,27,38000,33000,12
2026-08-02,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,12
2026-08-03,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,12
2026-08-04,SKU-MINYAK-02,Minyak Goreng Sawit 2L,33,38000,33000,12
2026-08-05,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,12
2026-08-06,SKU-MINYAK-02,Minyak Goreng Sawit 2L,27,38000,33000,12
2026-08-07,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,12
2026-08-08,SKU-MINYAK-02,Minyak Goreng Sawit 2L,35,38000,33000,12
2026-08-09,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,12
2026-08-10,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,12
2026-08-11,SKU-MINYAK-02,Minyak Goreng Sawit 2L,35,38000,33000,12
2026-08-12,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,12
2026-08-13,SKU-MINYAK-02,Minyak Goreng Sawit 2L,15,38000,33000,12
2026-08-14,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,12
2026-08-15,SKU-MINYAK-02,Minyak Goreng Sawit 2L,34,38000,33000,12
2026-08-16,SKU-MINYAK-02,Minyak Goreng Sawit 2L,31,38000,33000,12
2026-08-17,SKU-MINYAK-02,Minyak Goreng Sawit 2L,48,38000,33000,12
2026-08-18,SKU-MINYAK-02,Minyak Goreng Sawit 2L,35,38000,33000,12
2026-08-19,SKU-MINYAK-02,Minyak Goreng Sawit 2L,34,38000,33000,12
2026-08-20,SKU-MINYAK-02,Minyak Goreng Sawit 2L,22,38000,33000,12
2026-08-21,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,12
2026-08-22,SKU-MINYAK-02,Minyak Goreng Sawit 2L,40,38000,33000,12
2026-08-23,SKU-MINYAK-02,Minyak Goreng Sawit 2L,47,38000,33000,12
2026-06-25,SKU-TELUR-01,Telur Ayam Ras 1kg,45,31000,26500,15
